"Co-Diagnostics, Inc. SARS-CoV-2 Test Used In New Community Surveillance Method In Italy",https://www.laboratorynetwork.com/doc/co-diagnostics-inc-sars-cov-test-used-in-new-community-surveillance-method-in-italy-0001,9/9/2021,"Co-Diagnostics, Inc. (Nasdaq: CODX), a molecular diagnostics company with a unique, patented platform for the development of diagnostic tests, announced today that its Logix Smart™ COVID-19 Test Kit was used by Italian researchers to confirm the presence of SARS-CoV-2, including mutated strains of the virus, in a community surveillance method of testing single-use waste, with the peer-reviewed results published in the journal Science of the Total Environment."
Promega Launches OncoMate MSI Dx Analysis System In US,https://www.laboratorynetwork.com/doc/promega-launches-oncomate-msi-dx-analysis-system-in-us-0001,9/8/2021,"Promega Corporation today launched its OncoMate MSI Dx Analysis System (OncoMate MSI)in vitro diagnostic (IVD) in the US, giving oncologists and pathologists a new option to screen for Lynch syndrome in patients with colorectal cancer."
New Mass Spectrometry Portfolio Leverages Enhanced Hardware And Software To Advance Quantitative Analysis,https://www.laboratorynetwork.com/doc/new-mass-spectrometry-portfolio-leverages-enhanced-hardware-and-software-to-advance-quantitative-analysis-0001,9/8/2021,"Lab managers, technology leaders and principal scientists in pharmaceutical, food and environmental laboratories can now benefit from accelerated throughput and improved sensitivity to meet rapidly changing regulatory requirements and provide the fast responses needed for tackling emerging human and environmental health risks."
Marshfield Clinic Health System Partners With 4medica To Modernize And Build Laboratory Reference And Outreach Business,https://www.laboratorynetwork.com/doc/marshfield-clinic-health-system-partners-with-medica-to-modernize-outreach-business-0001,9/8/2021,"Marshfield Clinic Health System, an integrated health system of 10 hospitals and more than 60 clinics throughout Wisconsin, has selected 4medica®as its strategic connectivity and data integrity partner to modernize the regional expansion of Marshfield Labs and its reference and outreach business line operations."
Genetic Testing Pioneer DnaNudge Signs Key Agreement With Spain’s Largest Clinical Group Quirónprevención,https://www.laboratorynetwork.com/doc/genetic-testing-pioneer-dnanudge-signs-key-agreement-with-spain-s-largest-clinical-group-0001,9/7/2021,Consumer genetics testing and medical diagnostics pioneer DnaNudge today announces that it has signed a new major distributor agreement that will speed the commercial roll-out of its breakthrough rapid genetic testing solutions across Spain.
Meridian Launches Two New Air-Dryable qPCR Mixes Enabling Direct Detection Of DNA Or RNA From Saliva Samples,https://www.laboratorynetwork.com/doc/meridian-launches-two-new-air-dryable-direct-detection-of-dna-or-rna-from-saliva-samples-0001,9/7/2021,"Meridian Bioscience, Inc., a leading global provider of diagnostic testing solutions and life science raw materials, announced today the launch of its new Air-Dryable™ Direct DNA qPCR Saliva and Air-Dryable™ Direct RNA/DNA qPCR Saliva Mixes, which are designed for incorporation in room-temperature stable molecular assays, directly targeting nucleic acid sequence from saliva and sputum."
NuProbe Global Adopts Bionano’s Saphyr® System To Develop Products In Reproductive Health And Oncology Applications,https://www.laboratorynetwork.com/doc/nuprobe-global-adopts-develop-products-in-reproductive-health-and-oncology-applications-0001,9/7/2021,"Bionano Genomics, Inc. (Nasdaq: BNGO) announced today that NuProbe Global, a global molecular diagnostics company based in Shanghai, China and Houston, Texas, has adopted Bionano’s Saphyr system for optical genome mapping (OGM) to integrate their Quantitative Amplicon Sequencing (QASeq) and Blocker Displacement Amplification (BDA) technologies for research and product development in the fields of reproductive health and oncology liquid biopsies."
LexaGene’s MiQLab™ Accurately Detects Multiple Strains Of Pathogenic Bacteria In Polymicrobial Samples Compared To Conventional Culture,https://www.laboratorynetwork.com/doc/lexagene-s-miqlab-accurately-detects-multiple-strains-of-pathogenic-bacteria-into-conventional-culture-0001,9/7/2021,"LexaGene Holdings, Inc., (OTCQB: LXXGF; TSX-V: LXG) (“LexaGene” or the “Company”), a molecular diagnostics company that develops fully automated rapid pathogen detection systems, today announced it successfully utilized its MiQLab™ System (“MiQLab”) to detect the presence of multiple strains of pathogenic bacteria in polymicrobial samples that vary in their antimicrobial resistance (AMR)."
BGI's COVID-19 Test Laboratory At The Airport Secures Route Between Ethiopia And China,https://www.laboratorynetwork.com/doc/bgi-s-covid-test-laboratory-at-the-airport-secures-route-between-ethiopia-and-china-0001,9/6/2021,"From April to August 2021 , the BGI's COVID-19 testing lab helped 5,500 Chinese travelers fly safely from Addis Ababa Bole International Airport. In April, the BGI, in cooperation with Ethiopia Airlines, set up the ""Huo-Yan"" laboratory, a COVID-19 test laboratory, at the airport for passengers flying to China only flight was suspended."
Home Blood Collection Device Works For COVID Antibody Test,https://www.laboratorynetwork.com/doc/home-blood-collection-device-works-for-covid-antibody-test-0001,9/3/2021,"A device that could make it possible for patients to draw their own blood at home was successfully used to collect blood samples for measuring antibodies against SARS-CoV-2, the virus that causes COVID-19, researchers at the University of Washington School of Medicine in Seattle report."
NuProbe Global And Bionano To Co-Develop Products In Reproductive Health And Oncology Testing,https://www.laboratorynetwork.com/doc/nuprobe-global-and-bionano-to-co-develop-products-in-reproductive-health-and-oncology-testing-0001,9/1/2021,"NuProbe Global, a global molecular diagnostics company based in Shanghai, China and Houston, Texas, and Bionano Genomics, based in San Diego, California, have entered into a procurement and collaboration agreement, where NuProbe will integrate their Quantitative Amplicon Sequencing (QASeq) and Blocker Displacement Amplification (BDA) technologies with Bionano's Saphyr system for research and product development in the fields of reproductive health and oncology liquid biopsies."
"Todos Medical’s CLIA/CAP Lab Provista Completes Validation Of Combination COVID, Influenza A & B, RSV & hMPV Respiratory Panel Test",https://www.laboratorynetwork.com/doc/todos-medical-s-clia-cap-lab-provista-completes-covid-influenza-a-b-rsv-hmpv-respiratory-panel-test-0001,9/1/2021,"Todos Medical, Ltd. (OTCQB: TOMDF), a comprehensive medical diagnostics and related solutions company, today announced that its CLIA/CAP certified lab Provista Diagnostics has successfully completed the validation studies required to put the Quidel Lyra Influenza A & B and the Lyra RSV & hMPV PCR kits into production alongside COVID PCR tests currently being run (together the “Provista Respiratory Panel”) and expects this new respiratory panel to be launched in September 2021."
Natera Announces The Validation And Launch Of The Prospera™ Heart Transplant Assessment Test,https://www.laboratorynetwork.com/doc/natera-announces-the-validation-and-launch-of-the-prospera-heart-transplant-assessment-test-0001,8/31/2021,"Natera, Inc. (NASDAQ: NTRA), a leader in transforming care through genetic and cell-free DNA (cfDNA) testing, today announced the validation and clinical availability of its Prospera Heart transplant assessment test for heart transplant recipients."
BC Platforms Launches Packaged End-To-End Solution For NGS Laboratories With Sentieon To Accelerate Adoption Of NGS Testing,https://www.laboratorynetwork.com/doc/bc-platforms-launches-packaged-with-sentieon-to-accelerate-adoption-of-ngs-testing-0001,8/31/2021,"BC Platforms (BCP), a global leader in healthcare data management and analytics and US-based Sentieon, a developer of highly optimized algorithms for bioinformatics applications, today announced the launch of its new integrated next generation sequencing (NGS) genetic analytics software, known as BC|GENOME X-10."
Microbiologics Launches SARS-CoV-2 Whole Virus Antigen Controls For Point-Of-Care COVID-19 Diagnostics,https://www.laboratorynetwork.com/doc/microbiologics-launches-sars-cov-whole-virus-antigen-controls-for-point-of-care-covid-diagnostics-0001,8/31/2021,Microbiologics has launched a new SARS-CoV-2 quality control (QC) product designed for use with antigen point-of-care (POC) methods.
Vizgen Releases Commercial MERSCOPE Platform,https://www.laboratorynetwork.com/doc/vizgen-releases-commercial-merscope-platform-0001,8/30/2021,"Vizgen, the life science company dedicated to improving human health by visualizing single-cell spatial genomics information, today announced shipment of the first commercial MERSCOPETM Platforms, marking the successful start of their limited summer release program."
AnPac Bio’s USA Laboratory Receives Accreditation From The College Of American Pathologists,https://www.laboratorynetwork.com/doc/anpac-bio-s-usa-laboratory-receives-accreditation-from-the-college-of-american-pathologists-0001,8/30/2021,"AnPac Bio-Medical Science Co., Ltd. (“AnPac Bio,” the “Company” or “we”) (NASDAQ: ANPC), a biotechnology company with operations in the United States and China, today announced that its Philadelphia, PA Clinical Laboratory Improvement Amendments (“CLIA”) certified laboratory has received accreditation from the College of American Pathologists (“CAP”)."
Visby Medical7™ Receives FDA Clearance And CLIA Waiver At The Point Of Care For PCR Sexual Health Test,https://www.laboratorynetwork.com/doc/visby-medical-trade-receives-fda-clearance-and-clia-waiver-at-the-point-of-care-for-pcr-sexual-health-test-0001,8/30/2021,"Visby Medical™ announced today that it has received a 510(k) clearance and was granted a waiver under the Clinical Laboratory Improvement Amendments of 1988 (CLIA) from the US Food and Drug Administration (FDA) to market its fast, single-use polymerase chain reaction (PCR) diagnostic test for the multiplexed detection of sexually transmitted infections (STIs) caused by Chlamydia trachomatis (CT), Neisseria gonorrhoeae (NG) and Trichomonas vaginalis (TV), using a self-collected vaginal swab."
